depth,accuracy,std_accuracy,recall,precision,f1_score
1,0.6275862068965516,0.016893032708849502,0.9595238095238094,0.6137617300263952,0.748520454967845
2,0.6524137931034483,0.02779233335118605,0.854589787722318,0.652307058722988,0.7392288905909373
3,0.6606896551724138,0.02971125410832829,0.8092369477911646,0.6712876485067147,0.7334446564862876
4,0.6662068965517242,0.024519157013284363,0.8020367183017786,0.6790262949427879,0.7350657827149634
5,0.6841379310344827,0.030656704511576354,0.811503155479059,0.6940847484533835,0.7476907152175386
6,0.6799999999999999,0.037164671959468897,0.7924555364314401,0.6964299063810729,0.7407340765981577
7,0.689655172413793,0.027239196769836556,0.8043316121629374,0.7024448262191092,0.749375954286801
8,0.68,0.02118936758032719,0.7923694779116466,0.6967023849201095,0.7405855860199284
9,0.6910344827586208,0.022411140426581953,0.804302925989673,0.7042060544089359,0.749891459284748
10,0.6758620689655171,0.016893032708849502,0.7732358003442341,0.6987343811176422,0.7333548336132492
11,0.6813793103448276,0.018709875815517984,0.7827596098680436,0.7015302578558392,0.738924745518684
12,0.6855172413793105,0.01548272022113353,0.7804073436603557,0.7069464172088917,0.7410949033410867
13,0.6841379310344828,0.02283164876861634,0.7780550774526678,0.7065130545719749,0.7399004223218872
14,0.6841379310344828,0.014066260727152488,0.775645438898451,0.7071541505811088,0.7391731292606022
15,0.6841379310344827,0.012641588124016093,0.7732358003442341,0.7084102550332927,0.7385957082312697
